PUNCA KEMALANGAN MAUT,Tahun,Bilangan Kes
TIDAK IKUT LAMPU ISYARAT,2011,80
TIDAK IKUT LAMPU ISYARAT,2012,65
TIDAK IKUT LAMPU ISYARAT,2013,51
TIDAK IKUT LAMPU ISYARAT,2014,236
TIDAK IKUT LAMPU ISYARAT,2015,229
TIDAK IKUT LAMPU ISYARAT,2016,245
TIDAK IKUT LAMPU ISYARAT,2017,188
TIDAK IKUT LAMPU ISYARAT,2018,102
TIDAK IKUT LAMPU ISYARAT,2019,98
CUAI MENGUNDUR,2011,25
CUAI MENGUNDUR,2012,20
CUAI MENGUNDUR,2013,18
CUAI MENGUNDUR,2014,200
CUAI MENGUNDUR,2015,181
CUAI MENGUNDUR,2016,223
CUAI MENGUNDUR,2017,95
CUAI MENGUNDUR,2018,64
CUAI MENGUNDUR,2019,45
MABUK/DADAH,2011,7
MABUK/DADAH,2012,6
MABUK/DADAH,2013,4
MABUK/DADAH,2014,2
MABUK/DADAH,2015,3
MABUK/DADAH,2016,7
MABUK/DADAH,2017,10
MABUK/DADAH,2018,3
MABUK/DADAH,2019,5
BERHENTI MENGEJUT,2011,4
BERHENTI MENGEJUT,2012,8
BERHENTI MENGEJUT,2013,9
BERHENTI MENGEJUT,2014,5
BERHENTI MENGEJUT,2015,6
BERHENTI MENGEJUT,2016,12
BERHENTI MENGEJUT,2017,110
BERHENTI MENGEJUT,2018,36
BERHENTI MENGEJUT,2019,26
LEKA/BERANGAN/LETIH/MENGANTUK,2011,61
LEKA/BERANGAN/LETIH/MENGANTUK,2012,55
LEKA/BERANGAN/LETIH/MENGANTUK,2013,59
LEKA/BERANGAN/LETIH/MENGANTUK,2014,219
LEKA/BERANGAN/LETIH/MENGANTUK,2015,219
LEKA/BERANGAN/LETIH/MENGANTUK,2016,136
LEKA/BERANGAN/LETIH/MENGANTUK,2017,154
LEKA/BERANGAN/LETIH/MENGANTUK,2018,111
LEKA/BERANGAN/LETIH/MENGANTUK,2019,99
BERLUMBA / ZIG ZAG,2011,10
BERLUMBA / ZIG ZAG,2012,12
BERLUMBA / ZIG ZAG,2013,11
BERLUMBA / ZIG ZAG,2014,14
BERLUMBA / ZIG ZAG,2015,9
BERLUMBA / ZIG ZAG,2016,8
BERLUMBA / ZIG ZAG,2017,9
BERLUMBA / ZIG ZAG,2018,5
BERLUMBA / ZIG ZAG,2019,3
LAIN-LAIN,2011,414
LAIN-LAIN,2012,591
LAIN-LAIN,2013,726
LAIN-LAIN,2014,19
LAIN-LAIN,2015,17
LAIN-LAIN,2016,25
LAIN-LAIN,2017,41
LAIN-LAIN,2018,46
LAIN-LAIN,2019,25
TIADA DIKETAHUI,2011,90
TIADA DIKETAHUI,2012,90
TIADA DIKETAHUI,2013,108
TIADA DIKETAHUI,2014,88
TIADA DIKETAHUI,2015,102
TIADA DIKETAHUI,2016,113
TIADA DIKETAHUI,2017,90
TIADA DIKETAHUI,2018,29
TIADA DIKETAHUI,2019,17
